kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_kepmag
11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.50635409,170.998064,0.86,1.5155,2.2117e+03,4.53,1452,1054.12,181.1,1,882,1,q1_q17_dr25_tce,5714,4.563,-0.2,0.831,0.926,,15.525
11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,670.645531,209.04355,0.701,53.412,1.8091e+04,14.14,196,0.35,642.7,1,3,1,q1_q17_dr25_tce,5520,4.466,0.48,0.983,1.03,,15.207
11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,61.2563628,173.83826,1.248,7.633,5.1233e+03,39.87,505,15.43,85.3,1,13,1,q1_q17_dr25_tce,6144,4.402,0,1.091,1.093,,15.25
11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1,0,0,0,0,38.3775486,172.82048,0.468,5.588,7.2420e+02,2.82,529,18.53,34.7,1,37,1,q1_q17_dr25_tce,5481,4.369,0.16,1.036,0.915,,15.172
10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.992,0,0,0,0,41.19725502,165.00404,0.045,4.6297,2.2139e+03,3.86,439,8.76,51.2,3,26,2,q1_q17_dr25_tce,5031,4.485,0.16,0.848,0.801,,15.841
10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.252962249,171.30126,0.105,2.5819,1.0369e+03,2.65,823,108.3,47.1,3,167,3,q1_q17_dr25_tce,5031,4.485,0.16,0.848,0.801,,15.841
10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1,0,0,0,0,16.01308419,176.3608,0.799,3.2554,1.1219e+03,3.1,593,29.31,33.2,1,65,1,q1_q17_dr25_tce,5015,4.499,0.1,0.826,0.785,,15.39
11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1,0,0,0,0,32.62876672,194.1019,0.021,4.7971,1.8048e+03,3.36,506,15.55,80,2,34,1,q1_q17_dr25_tce,5586,4.56,-0.3,0.798,0.844,,15.082
11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.978,0,0,0,0,91.7732862,193.8378,0.606,6.473,6.5200e+02,2.12,359,3.92,19.1,2,11,2,q1_q17_dr25_tce,5586,4.56,-0.3,0.798,0.844,,15.082
11138155,K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.959319244,172.2585292,0.831,2.22739,9.8020e+03,12.21,1103,349.4,696.5,1,269,1,q1_q17_dr25_tce,5712,4.359,0.1,1.082,0.976,,15.263
11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,2.701287801,170.69579,1.016,3.3827,8.6040e+02,6.54,1222,527.81,48.3,1,387,1,q1_q17_dr25_tce,5550,4.468,-0.04,0.91,0.889,,15.54
11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.49876511,171.34905,0.312,3.7362,4.6000e+02,2.1,1133,389.62,29.5,1,238,1,q1_q17_dr25_tce,6075,4.486,-0.12,0.969,1.048,,15.395
11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.65120951,179.401981,0.723,5.2514,1.1766e+04,12.42,730,67.03,513.4,1,59,1,q1_q17_dr25_tce,6074,4.391,-0.12,1.063,1.014,,15.536
9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.412203927,133.143089,0.787,2.9472,6.0160e+02,2.94,1093,337.68,166.7,3,244,1,q1_q17_dr25_tce,5779,4.339,-0.06,1.087,0.941,,12.791
11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,41.43958662,208.93203,0.355,10.5989,2.7931e+03,5.5,516,16.72,141.1,1,33,1,q1_q17_dr25_tce,5468,4.367,0.22,1.046,0.93,,15.4
11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.35389523,171.63257,0.023,2.2514,1.0416e+03,2.52,790,91.9,43.4,1,127,1,q1_q17_dr25_tce,5592,4.582,-0.28,0.787,0.862,,15.317
11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.125543472,169.752585,0.597,3.1744,1.4873e+03,4.43,1243,565.35,128.6,1,323,1,q1_q17_dr25_tce,6174,4.417,0.1,1.103,1.162,,15.506
11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.816504904,170.9676846,0.105,2.50587,1.6814e+04,12.21,1219,521.13,1406.8,1,474,1,q1_q17_dr25_tce,5532,4.452,0.14,0.955,0.941,,15.052
11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,33.93373447,186.67608,0.812,14.561,8.5037e+03,7.34,430,8.11,236.1,1,31,1,q1_q17_dr25_tce,5040,4.628,-0.24,0.705,0.782,,15.716
12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.689920099,170.36571,0.151,2.6557,4.2670e+02,1.89,1147,408.99,35.6,1,360,1,q1_q17_dr25_tce,5880,4.518,-0.06,0.917,1.01,,15.242
12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.431238488,171.015,0.405,3.15,1.0109e+03,3.25,1104,351.23,71.1,3,302,1,q1_q17_dr25_tce,5714,4.428,0.16,1.015,1.007,,15.367
