koi_score,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_disposition
0.0,1,0,0,10.40599802,177.197466,0.324,6.5036,14489.0,11.23,833.0,113.94,745.2,1,117.0,1.0,5746.0,4.393,-0.54,0.924,0.77,15.562,FALSE POSITIVE
1.0,0,0,0,2.337437946,171.761982,0.28,1.9982,971.2,2.34,1070.0,311.16,82.4,2,578.0,1.0,5005.0,4.595,0.14,0.765,0.85,15.334,CONFIRMED
1.0,0,0,0,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396.0,5.82,71.0,1,115.0,1.0,3688.0,4.79,0.0,0.473,0.503,15.937,CONFIRMED
1.0,0,0,0,6.575315881,173.634044,0.39,4.3084,2793.3,5.31,1015.0,251.38,221.1,1,205.0,1.0,5992.0,4.415,-0.32,0.989,0.927,15.312,CONFIRMED
1.0,0,0,0,7.275040844,169.994217,0.547,7.5377,3001.0,4.86,833.0,113.64,312.1,1,188.0,1.0,5485.0,4.556,0.21,0.867,0.986,15.08,CONFIRMED
1.0,0,0,0,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393.0,5.66,37.1,2,67.0,1.0,4077.0,4.702,-0.24,0.56,0.576,15.385,CONFIRMED
1.0,0,0,0,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488.0,13.43,30.3,2,126.0,2.0,4077.0,4.702,-0.24,0.56,0.576,15.385,CONFIRMED
1.0,0,0,0,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677.0,49.68,35.8,1,107.0,1.0,5557.0,4.603,-0.4,0.75,0.832,15.505,CONFIRMED
0.998,0,0,0,43.84439721,151.93538,0.852,6.802,615.2,2.87,531.0,18.77,83.7,4,29.0,2.0,5854.0,4.406,-0.12,1.012,0.951,12.882,CONFIRMED
0.0,1,1,0,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032.0,268.67,39.0,1,780.0,1.0,5295.0,4.551,-0.02,0.811,0.853,15.629,FALSE POSITIVE
0.773,0,1,0,1.626630225,169.820171,1.26,2.1145,1620.6,32.43,1547.0,1355.88,103.6,1,664.0,1.0,5735.0,4.41,-0.18,0.973,0.889,15.279,FALSE POSITIVE
1.0,0,0,0,2.711504086,170.03417,0.023,3.0099,837.5,3.12,1420.0,960.79,64.5,2,494.0,1.0,6214.0,4.442,0.07,1.076,1.169,15.541,CONFIRMED
1.0,0,0,0,7.21203748,172.81782,0.012,4.0491,950.4,3.32,1025.0,260.58,51.5,2,165.0,2.0,6214.0,4.442,0.07,1.076,1.169,15.541,CONFIRMED
1.0,0,0,0,8.47237911,174.16212,0.022,2.7245,1123.5,2.59,751.0,75.44,47.6,2,159.0,1.0,5354.0,4.587,-0.08,0.788,0.884,15.339,CONFIRMED
0.989,0,0,0,60.4189369,181.16367,0.094,5.039,931.3,2.36,390.0,5.49,20.1,2,22.0,2.0,5354.0,4.587,-0.08,0.788,0.884,15.339,CONFIRMED
1.0,0,0,0,12.61190435,180.892284,0.55,5.1497,6105.6,7.4,753.0,76.15,277.2,1,104.0,1.0,5795.0,4.508,-0.02,0.919,0.992,15.14,CONFIRMED
0.0,1,0,0,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920.0,3209.29,112.6,1,481.0,1.0,6017.0,4.22,0.02,1.339,1.083,15.122,FALSE POSITIVE
0.0,1,1,0,10.31872301,173.31543,1.215,3.836,871.7,28.59,876.0,139.26,38.2,1,130.0,1.0,5927.0,4.409,0.07,1.06,1.05,15.065,FALSE POSITIVE
1.0,0,0,0,2.539183147,169.67494,0.238,2.4282,382.1,2.06,1332.0,743.09,38.9,1,528.0,1.0,5519.0,4.35,0.14,1.062,0.921,15.026,CONFIRMED
1.0,0,0,0,6.770300385,170.57662,0.838,2.0844,1304.0,2.77,812.0,102.87,50.8,1,200.0,1.0,5653.0,4.656,-0.84,0.679,0.767,15.591,CONFIRMED
0.0,1,1,1,0.444291966,169.865406,1.258,2.0792,10967.0,27.51,1836.0,2706.26,299.7,1,1466.0,1.0,5255.0,4.678,-0.72,0.636,0.709,15.748,FALSE POSITIVE
1.0,0,0,0,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361.0,4.0,35.2,4,59.0,2.0,3950.0,4.754,-0.46,0.493,0.502,15.954,CONFIRMED
